	Quality	ID1	ID2	String1	String2
0	1	702876	702977	Amrozi,accused called distorting,brother witness evidence	Amrozi,Referring accused distorting,witness brother evidence
1	0	2108705	2108831	Yucaipa,owned selling,Dominick chain Safeway	Yucaipa,bought sold,Dominick Safeway
2	1	1330381	1330521	,had published offering added,advertisement Internet June cargo sale	June owners ship,had published offering,advertisement Internet explosives sale
3	0	3344667	3344648	GMT Tab shares,were having set,cents % high	Tab shares,jumped set,cents % closing high
4	1	1236820	1236712	stock,rose close,percent Friday Stock Exchange	shares,jumped,percent Stock Exchange Friday
5	1	738533	737951	Revenue quarter year,dropped,percent period year	scandal revenue quarter year,hanging dropped,Stewart company percent period year
6	0	264589	264502	Nasdaq,had closing,gain percent Friday	.IXIC,rallied,points percent
7	1	579975	579810	DVD CCA,appealed,state Supreme Court	DVD CCA,appealed,decision U.S. Supreme Court
8	0	3114205	3114194	,compared,cents share year period	Earnings,were affected,tax benefit year period
9	1	1355540	1355592	,said does fit,business company growth strategy	business,does fit,growth strategy
10	0	222621	222514	Shares Genentech company products market,rose,percent	Shares Xoma,fell were,percent trade shares Genentech company products market
11	0	3131772	3131625	Legislation,making erase won,consumers debts bankruptcy court House approval March	Legislation,making erase won was endorsed,consumers debts bankruptcy court House approval March White
12	0	58747	58516	Nasdaq composite index,increased,percent	Nasdaq Composite index technology stocks,was,points
13	1	1464126	1464107	,added improve,group performance half year	De Sole,said improve,results statement group performance half year
14	1	771416	771467	,told had decided ask,Sun newspaper Mr. Hussein daughters schools hospitals mind asylum	daughters Saddam,had decided ask told,schools hospitals mind asylum Sun
15	0	142746	142671	Gyorgy Heizler head disaster unit,said was carrying,coach passengers	head disaster unit Gyorgy Heizler,said had failed heed,coach driver stop lights
16	0	1286053	1286069	Rudder,was,vice president Evangelism Business	Eric Rudder head unit,lead,entity
17	0	1563874	1563853	dolphin scheme chaos,has allowed engage damaging,companies operations	chaos,has allowed set,companies operations
18	0	2029631	2029565	Magnarelli,said hated looked using,Racicot regime years training war	wife,said was looked using,percent George Bush years training war
19	1	2150265	2150184	Sheena Young Child network,hoped lead,guidelines service infertility sufferers	Sheena Young Child network,said lead,guidelines service infertility sufferers
20	0	2044342	2044457	,think see said adding replace lost,lot job growth years jobs	Mankiw,think see said,lot job growth years
21	1	1284150	1284173	Finder,puts providing,user location access	Finder navigation tool Panther,puts,user folders drive network servers iDisk media location
22	1	3270389	3270327	storm warnings watches,were posted,today Haiti portions Dominican Republic Bahamas islands	storm warnings,were,place Thursday Jamaica Haiti watches Dominican Republic Bahamas islands
23	1	2294059	2294112	magistrate Fort Lauderdale,ordered held,bail	Zuccarini,was ordered held,bail Wednesday judge Fort Lauderdale Fla
24	0	1713015	1712982	BMI,is considered,	BMI,is considered defined,
25	0	487993	487952	dollar,was,yen session Swiss franc	dollar,was,yen JPY= session percent Swiss franc CHF=
26	1	1321918	1321644	months IMF Argentina,struck expires,deal August	months sides,managed strike expires,deal August
27	1	1239046	1239031	children,tend be approach,people objects situations children	invividuals,put tend be,people situations
28	1	2907515	2907224	,wanted bring said,people building Sunday concourse	Tunick,wanted bring said,people building Sunday
29	0	2791650	2791604	<. Standard Poor SPX,fell,points percent	index,was sinking,percent yesterday
30	0	2559762	2559517	Duque,return,Earth Oct. station crew Ed Lu Yuri Malenchenko	Ed Lu Yuri Malenchenko,living are,space station
31	1	105493	105432	Singapore,is totaling,United States trading partner trade	city state Singapore,is,trading partner United States trade volume year
32	1	1989515	1989458	AFL CIO,is waiting decide endorse,October candidate	AFL CIO,announced decide endorse,Wednesday October candidate primaries
33	0	1783137	1782659	dates,have been set,trial	dates Shanley,have been set has pleaded,cases
34	1	14663	14617	gains,were seen,prices orders inventories exports	Sub indexes orders inventories exports,measuring increased,prices
35	1	1692902	1692851	Trading Loral shares,was halted closed,yesterday Monday	Stock Exchange,suspended closed,trading yesterday Loral Friday
36	0	1480561	1480670	Earnings share operations,be,cents	,beat,company April earnings forecast cents share
37	1	3089434	3089441	,plans have,dinner troops Kosovo U.S. headquarters Camp Bondsteel	,plans have stationed,dinner Camp Bondsteel U.S. troops
38	1	2538111	2538021	Retailers,kick,things Monday	Retailers .N,kick,things Monday
39	1	1341941	1341915	Prosecutors,filed informing intend seek,motion Lee death penalty	,added seek,prosecutors death penalty
40	1	374967	375017	year court,upheld ruling are provide,Cleveland school voucher program vouchers parents choice schools	year court,ruled are provide,Ohio case government vouchers parents choices range schools
41	0	2321401	2321455	,beat had spread,cancer lungs brain	Armstrong,battled spread,cancer brain
42	1	1356545	1356676	Sorkin,faces obstruct lying was have been tried,charges conspiracy justice jury	Sorkin,was have been tried,charges conspiracy jury
43	0	2198036	2198094	Graves,reported,Albuquerque Villafranca Austin Ratcliffe Laredo	Pete Slover,reported,Laredo Gromer Jeffers Albuquerque
44	1	921159	921272	US chip market,is expected decline grow,percent year	Americas market,decline grow,percent
45	1	740726	739960	group,be headed has served,John S. Wolf Australia Vietnam Greece Pakistan	group,be headed has served,John S. Wolf secretary state Australia Vietnam Greece Pakistan
46	0	284798	284937	commission customer,work paying get,plan details year savings	customer,paying see,year electricity savings
47	1	1041293	1041421	company,has said plans restate,earnings	company,had announced have restate,January earnings
48	1	2630545	2630577	Results U.S. maker PepsiCo Inc. PEP.N,were be,spotlight	Results U.S. maker PepsiCo Inc. nyse people,were be,spotlight
49	1	1014977	1014962	result,is provide,package growth employees years	result,is provide said,package growth employees years
50	1	3039165	3039036	Wal Mart,said check ensure were employed,workers	,has said review ensure have,employees status
51	1	2674986	2674800	songs,are,offer cents album	company,offer,songs cents albums
52	1	2193346	2193362	talk,was downplayed said focus were,PBL purchases earnings cash flow accretive	talk,has been downplayed said focus were,PBL purchases earnings cash flow
53	1	149798	149596	Comcast Class,,	stock,rose,cents yesterday trading
54	0	1490811	1490840	dioxin levels environment Caswell,were have dropped said,year percent 1970s	Institute,said have fallen,dioxin levels environment percent 1970s
55	1	426112	426210	,integrates allows work,PurifyPlus developers versions Java Visual C# Basic	IBM,said were integrated allows work,products Rational PurifyPlus developers Java Visual C# VisualBasic
56	1	213302	213135	Washington Post,said shut accommodate,Airlite shift parts Monday president appearance	plant Crosby,plans shut accommodate said,shift parts Monday president appearance
57	0	1963350	1963106	teammate Carlton Dotson,has been charged,murder	body Carlton Dotson,was found has been charged,July shooting death
58	1	3035675	3035707	questions,asked were,audience forum candidates	audience questions,were,candidates
59	1	622300	622384	death toll,approached sickened appeared,people virus China November	death toll SARS,was sickened appeared,people virus China November
60	0	962311	962987	battles,marked hunt,day U.S. sweep supporters Saddam Hussein regime	Iraqis,were killed pushing hunt,number opposition deaths U.S. operation supporters Saddam Hussein regime
61	0	2506257	2506206	women,had,examinations years	women,had were asked,examinations stress
62	0	221038	221083	Embraer jets,are scheduled be delivered,September	aircraft,be delivered,U.S. Airways September
63	1	1097577	1097664	PeopleSoft management Oracle,have believe intends support come,PeopleSoft customers products years	Ellison,said intends support come,contentions PeopleSoft management Oracle years customers products
64	0	218017	218035	Application Intelligence,be included is,part company SmartDefense application Firewall	application intelligence,be are included comes,June SmartDefense product FireWall
65	0	2277501	2277502	Masters Arthur Miller Elia Kazan Blacklist None Sin Wed,,	,Note,subheading parable series Arthur Miller Elia Kazan Blacklist None Sin
66	1	423245	423228	downtime,take is expected cut,place May June production board feet	downtime,is expected take,board feet companys system
67	1	1336931	1336883	July Troy,is expected be sentenced,life prison parole	Troy,faces,life prison parole sentencing
68	1	2208366	2208492	University Michigan,released dropping found,process Thursday point system U.S. Supreme Court June	University Michigan,released struck admitted,today admissions policy U.S. Supreme Court June way undergraduates
69	1	2405153	2405189	processors,were announced,San Jose Forum	processor,was unveiled,Forum San Jose Calif
70	0	3334905	3334946	Justice Department,filed failing end call,suit Thursday state Mississippi officials abuse juveniles conditions facilities	Justice Department,filed alleging,lawsuit Thursday state Mississippi abuse offenders facilities
71	1	1641162	1641062	,said provided penetrate,damage wing pathway gasses ship armor Columbia reentry	document,says provided penetrate,damage wing pathway gases Columbia armour re-entry
72	1	244062	243899	revival family drama Eugene O'Neill Journey Long Day Night,demonstrating getting was,strength Tony nominations	revival family drama Journey Night,demonstrating getting was,strength Tony nominations
73	1	1439663	1439808	rate,go,percent residents incomes	residents incomes rate,increase,percent
74	1	2070455	2070493	Colin Powell State,brushed,possibility Wednesday	Colin Powell State week,ruled,treaty
75	1	1996069	1996101	Thomas Tauzin,say do has correct,doctors Bush administration power flaws	doctors Mr. Thomas Tauzin,say has correct,Bush administration power flaws
76	1	23807	23792	experience,take are held added,years elections	U.S. officials,have said take are held,years elections experiences world
77	1	3147370	3147525	results,appear being published,January issue Cancer journal today	results,appear being published,January issue Cancer American Society sites journal Monday
78	1	1211287	1210972	biotechnology treatment asthma constriction airways,affects received,millions world approval US Administration yesterday	biotechnology treatment asthma constriction airways,affects received,millions Americans approval U.S. Administration Friday
79	1	3300040	3299992	delegates,said raising distributing has been complicated,funds U.S. crackdown foundations bank accounts terror organizations money transfers	Bin Laden men,pointed raising distributing has been complicated,funds U.S. crackdown foundations bank accounts terror organizations money transfers
80	1	2512758	2512692	FBI agents U.S. officials,arrested obstructing said,partner Ernst Young ERNY .UL charges investigations Thursday	partner Ernst Young accountancy firm,was arrested obstructing,FBI agents US charges investigations
81	0	3183829	3183863	Kelly,begin,meetings Alexander Losyukov Washington Monday	Alexander Losyukov,said be fixed,Moscow Tuesday firm date months end
82	1	3257588	3257537	shooting,linked was,spree shooting Elementary School Obetz km freeway	shooting,linked occurred,spree Nov. Elementary Obetz miles freeway
83	0	524136	524119	Sanitation,is be said,typhoid cholera	Sanitation water,is left be,typhoid cholera
84	0	1321343	1321577	Industrial Average,ended fell,points % Nasdaq	trading average,was having gained,percent Tuesday
85	1	2560856	2560808	PDC,fan,flames speculation Longhorn release	PDC,reignite,speculation release dates Microsoft products
86	1	2728434	2728420	Sales figure,watched falling had predicted,barometer health percent industry experts	,disclosed watched were expected,sales figure analysts barometer health industry experts
87	1	3277643	3277659	NEC,is pitching,software variety industries health care hospitality	NEC company spokesman,pitching said,software variety industries healthcare hospitality
88	1	2621134	2621174	Elena Slough,considered be died,nation person world Sunday morning	ELENA,,
89	1	2529661	2529575	,are declaring,war harassment assault	Rosa,have declared said,war assault harassment
90	0	953744	953727	<. Nasdaq Composite Index IXIC,added,points percent	.IXIC,dipped,point
91	0	1268733	1268445	dollar,was,currency percent	Swiss franc dollar,was,francs percent day
92	0	969512	969295	.SPX Standard Poor,gave,points percent	Nasdaq Composite Index,was,points percent
93	1	304482	304430	El Watan newspaper,reported resisted firing,kidnappers army assault morning Kalashnikov rifles	El Watan newspaper,reported put firing,kidnappers resistance army assault Kalashnikov rifles
94	0	472952	472535	Mitsubishi Tokyo Financial JP:8306 news chart profile,declined,yen percent	Sumitomo Mitsui Financial JP:8316 news chart profile,was,percent yen
95	0	3119349	3119343	,'re dealing wins loses,bragging rights	Gammerman,Leaving 're dealing wins loses said,attorney fees bragging rights
96	1	224868	225233	Shares Hartford,rose,composite trading	Shares Hartford,were,percent midday trading
