	Quality	ID1	ID2	String1	String2
0	1	702876	702977	Amrozi accused brother called witness distorting evidence	Referring witness Amrozi accused brother distorting evidence
1	0	2108705	2108831	Yucaipa owned Dominick selling chain Safeway	Yucaipa bought Dominick sold Safeway
2	1	1330381	1330521	had published advertisement Internet June offering cargo sale added	June ship owners had published advertisement Internet offering explosives sale
3	0	3344667	3344648	GMT Tab shares were cents % having set high	Tab shares jumped cents % set closing high
4	1	1236820	1236712	stock rose percent close Friday Stock Exchange	shares jumped percent Stock Exchange Friday
5	1	738533	737951	Revenue quarter year dropped percent period year	scandal hanging Stewart company revenue quarter year dropped percent period year
6	0	264589	264502	Nasdaq had gain percent closing Friday	.IXIC rallied points percent
7	1	579975	579810	DVD CCA appealed state Supreme Court	DVD CCA appealed decision U.S. Supreme Court
8	0	3114205	3114194	compared cents share period	Earnings were affected tax benefit period
9	1	1355540	1355592	said business does fit company growth strategy	business does fit growth strategy
10	0	222621	222514	Shares Genentech company products market rose percent	Shares Xoma fell percent trade shares Genentech company products market were percent
11	0	3131772	3131625	Legislation making consumers erase debts bankruptcy court won House approval March	Legislation making consumers erase debts bankruptcy court won House approval March was endorsed White House
12	0	58747	58516	Nasdaq composite index increased percent	Nasdaq Composite index technology stocks was points
13	1	1464126	1464107	added group performance improve half year	De Sole said results statement group performance improve half year
14	1	771416	771467	told Sun newspaper Mr. Hussein daughters had schools hospitals mind decided ask asylum	Saddam daughters had schools hospitals mind decided ask asylum schools told Sun
15	0	142746	142671	Gyorgy Heizler head disaster unit said coach was carrying passengers	head disaster unit Gyorgy Heizler said coach driver had failed heed stop lights
16	0	1286053	1286069	Rudder was vice president Evangelism Business	Eric Rudder head unit lead entity
17	0	1563874	1563853	dolphin scheme chaos has allowed companies engage damaging operations	chaos has allowed companies set operations
18	0	2029631	2029565	Magnarelli said Racicot hated regime looked using years training war	wife said was percent George Bush looked using years training war
19	1	2150265	2150184	Sheena Young Child network hoped guidelines lead service infertility sufferers	Sheena Young Child network said guidelines lead service infertility sufferers
20	0	2044342	2044457	think see lot job growth years said adding growth replace jobs lost	think see lot job growth years said Mankiw
21	1	1284150	1284173	Finder puts user location providing access	Panther Finder navigation tool puts user folders drive network servers iDisk media location
22	1	3270389	3270327	storm warnings watches were posted today Haiti portions Dominican Republic Bahamas islands	storm warnings were place Thursday Jamaica Haiti watches Dominican Republic Bahamas islands
23	1	2294059	2294112	magistrate Fort Lauderdale ordered held bail	Zuccarini was ordered held bail Wednesday judge Fort Lauderdale Fla
24	0	1713015	1712982	BMI is considered is considered	BMI is considered is considered is defined
25	0	487993	487952	dollar was yen session Swiss franc	dollar was yen JPY= session Swiss franc CHF= percent
26	1	1321918	1321644	months IMF Argentina struck deal expires August	months sides managed strike deal expires August
27	1	1239046	1239031	children tend be people objects situations children approach	put invividuals tend be people situations
28	1	2907515	2907224	wanted bring people building said Sunday concourse	wanted bring people building Tunick said Sunday
29	0	2791650	2791604	Standard Poor <. SPX fell points percent	index was percent sinking yesterday
30	0	2559762	2559517	Duque return Earth Oct. station crew Ed Lu Yuri Malenchenko	living space station are Ed Lu Yuri Malenchenko
31	1	105493	105432	Singapore is United States trading partner trade totaling	city state Singapore is trading partner United States trade volume year
32	1	1989515	1989458	AFL CIO is waiting October decide endorse candidate	AFL CIO announced Wednesday decide October endorse candidate primaries
33	0	1783137	1782659	dates have been set trial	dates have been set cases Shanley has pleaded
34	1	14663	14617	gains were seen prices orders inventories exports	Sub indexes measuring prices orders inventories exports increased
35	1	1692902	1692851	Trading Loral was halted yesterday shares closed Monday	Stock Exchange suspended trading yesterday Loral closed Friday
36	0	1480561	1480670	Earnings share operations be cents	beat company April earnings forecast cents share
37	1	3089434	3089441	plans have dinner troops Kosovo U.S. headquarters Camp Bondsteel	plans have dinner Camp Bondsteel U.S. troops stationed
38	1	2538111	2538021	Retailers kick things Monday	Retailers .N kick things Monday
39	1	1341941	1341915	Prosecutors filed motion informing Lee intend seek death penalty	added prosecutors seek death penalty
40	1	374967	375017	year court upheld Cleveland school voucher program ruling vouchers are provide parents choice schools	year court ruled Ohio case government vouchers are provide parents choices range schools
41	0	2321401	2321455	beat cancer had spread lungs brain	Armstrong battled cancer spread brain
42	1	1356545	1356676	Sorkin faces charges conspiracy obstruct justice lying jury was have been tried	Sorkin was have been tried charges conspiracy jury
43	0	2198036	2198094	Graves reported Albuquerque Villafranca Austin Ratcliffe Laredo	Pete Slover reported Laredo Gromer Jeffers Albuquerque
44	1	921159	921272	US chip market is expected decline percent year grow percent	Americas market decline percent grow percent
45	1	740726	739960	group be headed John S. Wolf has served Australia Vietnam Greece Pakistan	group be headed John S. Wolf secretary state has served Australia Vietnam Greece Pakistan
46	0	284798	284937	commission work plan details customer paying year get savings	customer paying year electricity see savings
47	1	1041293	1041421	company has said plans restate earnings	company had announced January have restate earnings
48	1	2630545	2630577	Results U.S. maker PepsiCo Inc. PEP.N were be spotlight	Results U.S. maker PepsiCo Inc. nyse people were be spotlight
49	1	1014977	1014962	result is package provide growth employees years	result is package provide growth employees years said
50	1	3039165	3039036	Wal Mart said check workers ensure were employed	has said review employees ensure have status
51	1	2674986	2674800	songs are offer cents album	company offer songs cents albums
52	1	2193346	2193362	talk was downplayed PBL said focus purchases were earnings cash flow	talk has been downplayed PBL said focus purchases were earnings cash flow
53	1	149798	149596	Comcast Class	stock rose cents yesterday trading
54	0	1490811	1490840	dioxin levels environment were year have dropped percent 1970s said Caswell	Institute said dioxin levels environment have fallen percent 1970s
55	1	426112	426210	integrates PurifyPlus allows developers work versions Java Visual C# Visual Basic	IBM said products were integrated Rational PurifyPlus allows developers work Java Visual C# VisualBasic
56	1	213302	213135	Washington Post said Airlite shut shift parts shift Monday accommodate president appearance	plant plans shut shift parts shift Monday accommodate president appearance Crosby said
57	0	1963350	1963106	teammate Carlton Dotson has been charged murder	body was found July Carlton Dotson has been charged shooting death
58	1	3035675	3035707	questions asked audience forum were candidates	audience questions were candidates
59	1	622300	622384	death toll approached people sickened virus appeared China November	death toll SARS was people sickened virus appeared China November
60	0	962311	962987	battles marked day U.S. sweep hunt supporters Saddam Hussein regime	Iraqis were killed pushing number opposition deaths U.S. operation hunt supporters Saddam Hussein regime
61	0	2506257	2506206	women had examinations years	women had examinations were asked stress
62	0	221038	221083	Embraer jets are scheduled be delivered September	aircraft be delivered U.S. Airways September
63	1	1097577	1097664	PeopleSoft management have believe Oracle intends support PeopleSoft customers products years come	Ellison said contentions PeopleSoft management Oracle intends support PeopleSoft customers products years come
64	0	218017	218035	Application Intelligence be included part company SmartDefense application is included Firewall	application intelligence be June are included SmartDefense product comes FireWall
65	0	2277501	2277502	Masters Arthur Miller Elia Kazan Blacklist None Sin Wed	Note subheading parable series Arthur Miller Elia Kazan Blacklist None Sin
66	1	423245	423228	downtime take place May June is expected cut production board feet	downtime is expected take board feet companys system
67	1	1336931	1336883	July Troy is expected be sentenced life prison parole	Troy faces life prison parole sentencing
68	1	2208366	2208492	University Michigan released process Thursday dropping point system U.S. Supreme Court found June	University Michigan released today admissions policy U.S. Supreme Court struck June way admitted undergraduates
69	1	2405153	2405189	processors were announced San Jose Forum	processor was unveiled Forum San Jose Calif
70	0	3334905	3334946	Justice Department filed suit Thursday state Mississippi failing end officials call abuse juveniles conditions facilities	Justice Department filed lawsuit Thursday state Mississippi alleging abuse offenders facilities
71	1	1641162	1641062	said damage wing provided pathway gasses penetrate ship armor Columbia reentry	document says damage wing provided pathway gases penetrate Columbia armour re-entry
72	1	244062	243899	demonstrating strength getting Tony nominations was revival Eugene O'Neill family drama Long Day Journey Night	demonstrating strength getting Tony nominations was revival family drama Journey Night
